No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
88,OS,220704,OS070401,F01_U01_O0088_D2022-07-04_L420_W0749_S3,420,749,,,,,,,,,,,,000011
89,OS,220704,OS070402,F01_U01_O0089_D2022-07-04_L335_W0379_S2,335,379,,,,,,,,,,,,000007
90,OS,220704,OS070403,F01_U01_O0090_D2022-07-04_L325_W0295_S2,325,295,,,,,,,,,,,,000019
91,OS,220704,OS070404,F01_U01_O0091_D2022-07-04_L345_W0407_S2,345,407,,,,,,,,,,,,000006
92,OS,220704,OS070405,F01_U01_O0092_D2022-07-04_L370_W0573_S3,370,573,,,,,,,,,,,,071719
93,OS,220704,OS070406,F01_U01_O0093_D2022-07-04_L380_W0471_S2,380,471,,,,,,,,,,,,000017
94,OS,220704,OS070407,F01_U01_O0094_D2022-07-04_L360_W0443_S2,360,443,,,,,,,,,,,,000611
95,OS,220704,OS070408,F01_U01_O0095_D2022-07-04_L345_W0417_S2,345,417,,,,,,,,,,,,000011
96,OS,220704,OS070409,F01_U01_O0096_D2022-07-04_L320_W0359_S2,320,359,,,,,,,,,,,,000619
97,OS,220704,OS070410,F01_U01_O0097_D2022-07-04_L345_W0285_S2,345,285,,,,,,,,,,,,000021
98,OS,220704,OS070411,F01_U01_O0098_D2022-07-04_L425_W0644_S3,425,644,,,,,,,,,,,,000021
99,OS,220704,OS070412,F01_U01_O0099_D2022-07-04_L415_W0732_S3,415,732,,,,,,,,,,,,000011
100,OS,220704,OS070413,F01_U01_O0100_D2022-07-04_L355_W0504_S3,355,504,,,,,,,,,,,,060718
101,OS,220704,OS070414,F01_U01_O0101_D2022-07-04_L320_W0338_S2,320,338,,,,,,,,,,,,000007
102,OS,220704,OS070415,F01_U01_O0102_D2022-07-04_L340_W0228_S2,340,228,,,,,,,,,,,,060711
103,IC,220704,IC070401,F02_U01_O0103_D2022-07-04_L345_W0500_S2,345,500,F8,2750 ,5,생사료(MP),80,,,,,,,000021
104,IC,220704,IC070402,F02_U01_O0104_D2022-07-04_L380_W0673_S3,380,673,F8,2750 ,5,생사료(MP),80,,,,,,,000021
105,IC,220704,IC070403,F02_U01_O0105_D2022-07-04_L355_W0410_S2,355,410,F8,2750 ,5,생사료(MP),80,,,,,,,000021
106,IC,220704,IC070404,F02_U01_O0106_D2022-07-04_L330_W0312_S2,330,312,F8,2750 ,5,생사료(MP),80,,,,,,,000021
107,IC,220704,IC070405,F02_U01_O0107_D2022-07-04_L345_W0514_S3,345,514,F8,2750 ,5,생사료(MP),80,,,,,,,000017
